Produto,Categoria,Preço,Quantidade
Sérum Facial Vitamina C,Skincare,89.9,2
Protetor Solar FPS 50,Skincare,65.0,30
Gel de Limpeza Facial,Skincare,45.5,25
Hidratante Corporal,Corpo,38.0,20
Batom Matte,Maquiagem,29.9,50
Base Líquida High Coverage,Maquiagem,72.0,18
Máscara de Cílios Volume,Maquiagem,39.9,40
Shampoo Antirresíduos,Cabelos,32.0,22
Condicionador Hidratante,Cabelos,34.0,22
Máscara de Nutrição Capilar,Cabelos,58.9,12
Água Micelar Demaquilante,Skincare,28.5,35
Creme para Olhos Anti-idade,Skincare,95.0,10
Óleo Reparador de Pontas,Cabelos,42.0,28
Tônico Facial Adstringente,Skincare,35.0,19
Esfoliante Facial Suave,Skincare,49.9,16
