Cliente,Idade,Valor gasto
Cliente 1,56,372.27
Cliente 2,69,80.49
Cliente 3,46,875.63
Cliente 4,32,820.02
Cliente 5,60,622.3
Cliente 6,25,77.46
Cliente 7,38,437.74
Cliente 8,56,1437.12
Cliente 9,36,1590.84
Cliente 10,40,1231.62
Cliente 11,28,1856.29
Cliente 12,28,1319.6
Cliente 13,41,1834.17
Cliente 14,53,1707.58
Cliente 15,57,926.43
Cliente 16,41,236.05
Cliente 17,20,773.1
Cliente 18,39,1354.24
Cliente 19,19,1348.55
Cliente 20,41,1203.03
Cliente 21,61,585.71
Cliente 22,47,1144.42
Cliente 23,55,796.71
Cliente 24,19,1944.84
Cliente 25,38,1705.38
Cliente 26,50,1457.37
Cliente 27,29,510.17
Cliente 28,39,549.33
Cliente 29,61,128.85
Cliente 30,42,1435.79
Cliente 31,66,266.24
Cliente 32,44,906.71
Cliente 33,59,443.35
Cliente 34,45,1796.74
Cliente 35,33,976.97
Cliente 36,32,1148.39
Cliente 37,64,1406.26
Cliente 38,68,321.7
Cliente 39,61,1228.61
Cliente 40,69,1102.69
Cliente 41,20,445.97
Cliente 42,54,1888.56
Cliente 43,68,1217.79
Cliente 44,24,1404.83
Cliente 45,38,1766.91
Cliente 46,26,1267.49
Cliente 47,56,626.49
Cliente 48,35,255.71
Cliente 49,21,940.24
Cliente 50,42,475.96
Cliente 51,31,862.19
Cliente 52,67,1772.4
Cliente 53,26,682.47
Cliente 54,43,288.07
Cliente 55,19,744.78
Cliente 56,37,1818.32
Cliente 57,45,580.66
Cliente 58,64,1313.0
Cliente 59,24,51.01
Cliente 60,61,737.51
Cliente 61,25,644.32
Cliente 62,64,371.08
Cliente 63,52,1091.47
Cliente 64,31,995.42
Cliente 65,34,1400.25
Cliente 66,53,575.35
Cliente 67,67,526.04
Cliente 68,57,378.17
Cliente 69,21,476.59
Cliente 70,19,1138.3
Cliente 71,23,837.48
Cliente 72,59,176.54
Cliente 73,21,545.14
Cliente 74,46,531.41
Cliente 75,35,1407.79
Cliente 76,43,1438.93
Cliente 77,61,338.77
Cliente 78,51,1995.59
Cliente 79,27,570.22
Cliente 80,53,1954.4
Cliente 81,31,851.52
Cliente 82,48,114.45
Cliente 83,65,722.89
Cliente 84,32,1286.99
Cliente 85,25,1377.38
Cliente 86,31,1085.32
Cliente 87,40,923.18
Cliente 88,57,1128.14
Cliente 89,38,1205.76
Cliente 90,33,207.66
Cliente 91,62,770.83
Cliente 92,35,522.21
Cliente 93,64,1616.12
Cliente 94,41,967.09
Cliente 95,43,1967.68
Cliente 96,42,827.71
Cliente 97,62,1642.04
Cliente 98,58,1606.77
Cliente 99,46,343.9
Cliente 100,32,1040.99
