Nome,Idade,Nota
Aluno 1,24,2.1
Aluno 2,21,5.4
Aluno 3,28,5.2
Aluno 4,25,4.3
Aluno 5,22,2.1
Aluno 6,24,3.6
Aluno 7,27,7.7
Aluno 8,20,8.3
Aluno 9,24,6.8
Aluno 10,28,9.4
Aluno 11,28,7.2
Aluno 12,25,9.3
Aluno 13,22,8.8
Aluno 14,21,5.6
Aluno 15,25,2.8
Aluno 16,25,5.0
Aluno 17,20,7.4
Aluno 18,23,7.3
Aluno 19,22,6.7
Aluno 20,19,4.2
Aluno 21,25,6.5
Aluno 22,29,5.1
Aluno 23,23,9.8
Aluno 24,19,8.8
Aluno 25,29,7.8
Aluno 26,22,3.9
Aluno 27,18,4.0
Aluno 28,29,2.3
Aluno 29,27,7.7
Aluno 30,23,2.9
Aluno 31,29,5.5
Aluno 32,26,3.6
Aluno 33,18,9.2
Aluno 34,28,5.8
Aluno 35,28,6.5
Aluno 36,27,7.6
Aluno 37,29,3.1
Aluno 38,29,6.8
Aluno 39,20,6.3
Aluno 40,29,3.6
Aluno 41,24,9.5
Aluno 42,21,6.8
Aluno 43,26,7.6
Aluno 44,20,9.0
Aluno 45,22,7.0
Aluno 46,20,4.4
Aluno 47,24,2.8
Aluno 48,22,5.7
Aluno 49,26,3.7
Aluno 50,24,5.3
Aluno 51,19,9.1
Aluno 52,21,4.6
Aluno 53,26,3.0
Aluno 54,29,4.9
Aluno 55,19,9.3
Aluno 56,27,4.2
Aluno 57,26,7.2
Aluno 58,27,2.0
Aluno 59,22,4.8
Aluno 60,19,4.4
Aluno 61,21,3.3
Aluno 62,29,6.3
Aluno 63,29,5.9
Aluno 64,24,7.5
Aluno 65,29,4.2
Aluno 66,25,4.0
Aluno 67,20,3.3
Aluno 68,18,3.8
Aluno 69,21,6.5
Aluno 70,19,5.2
Aluno 71,25,2.5
Aluno 72,21,4.0
Aluno 73,19,4.0
Aluno 74,23,7.6
Aluno 75,23,7.7
Aluno 76,27,3.2
Aluno 77,21,10.0
Aluno 78,23,4.1
Aluno 79,19,9.8
Aluno 80,27,5.3
Aluno 81,29,2.3
Aluno 82,19,4.8
Aluno 83,27,7.1
Aluno 84,21,7.4
Aluno 85,25,6.2
Aluno 86,24,5.6
Aluno 87,29,6.4
Aluno 88,26,6.7
Aluno 89,25,2.6
Aluno 90,22,5.0
Aluno 91,19,3.9
Aluno 92,22,8.4
Aluno 93,25,5.8
Aluno 94,27,9.9
Aluno 95,26,5.2
Aluno 96,29,8.5
Aluno 97,29,8.4
Aluno 98,29,3.2
Aluno 99,26,6.1
Aluno 100,18,7.6
